is_open,hours.Monday,attributes.BusinessAcceptsCreditCards,hours.Tuesday,attributes.HappyHour,attributes.Ambience,attributes.NoiseLevel,hours.Wednesday,attributes.GoodForKids,attributes.AgesAllowed,neighborhood,attributes.Corkage,categories,attributes.AcceptsInsurance,attributes.Alcohol,attributes.WiFi,attributes.Music,attributes.RestaurantsReservations,postal_code,attributes.HairSpecializesIn,name,longitude,attributes.BikeParking,attributes.RestaurantsTableService,attributes.RestaurantsDelivery,attributes.RestaurantsTakeOut,hours.Friday,attributes.RestaurantsPriceRange2,attributes.DriveThru,city,attributes.DogsAllowed,attributes.GoodForMeal,attributes.RestaurantsCounterService,attributes.DietaryRestrictions,latitude,attributes,attributes.BusinessParking,stars,business_id,attributes.BestNights,address,attributes.ByAppointmentOnly,attributes.BYOB,attributes.BusinessAcceptsBitcoin,attributes.BYOBCorkage,attributes.Caters,attributes.Open24Hours,attributes.HasTV,attributes.OutdoorSeating,hours.Sunday,attributes.GoodForDancing,attributes.WheelchairAccessible,attributes.RestaurantsGoodForGroups,attributes.Smoking,attributes.CoatCheck,hours.Saturday,review_count,hours.Thursday,state,hours,attributes.RestaurantsAttire
1,8:0-22:0,True,8:0-22:0,,,,8:0-22:0,,,,,"Drugstores, Cosmetics & Beauty Supply, Shopping, Convenience Stores, Beauty & Spas, Photography Stores & Services, Food",,,,,,85051,,Walgreens,-112.1161018,,,,False,8:0-22:0,2.0,,Phoenix,,,,,33.5388985,"{'BusinessAcceptsCreditCards': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'ByAppointmentOnly': 'False', 'RestaurantsPriceRange2': '2', 'RestaurantsTakeOut': 'False'}","{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",2.5,WxTh-14M41ybEcHbv3VKcw,,2650 W Glendale Ave,False,,,,,,,,8:0-22:0,,,,,,8:0-22:0,3,8:0-22:0,AZ,"{'Monday': '8:0-22:0', 'Tuesday': '8:0-22:0', 'Wednesday': '8:0-22:0', 'Thursday': '8:0-22:0', 'Friday': '8:0-22:0', 'Saturday': '8:0-22:0', 'Sunday': '8:0-22:0'}",
1,9:0-17:0,True,,,,,,,,,,"Home & Garden, Shopping, Home Decor",,,,,,89005,,Hacienda Interiors,-114.8483883,True,,,,,3.0,,Boulder City,,,,,35.9729946,"{'BikeParking': 'True', 'BusinessAcceptsCreditCards': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'RestaurantsPriceRange2': '3'}","{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",4.0,8pZII0QDmZhctwfwDuWqrA,,1108 Nevada Hwy,,,,,,,,,9:0-17:0,,,,,,,10,,NV,"{'Monday': '9:0-17:0', 'Sunday': '9:0-17:0'}",
1,9:0-21:0,,9:0-21:0,,,,9:0-21:0,,,,,"Test Preparation, College Counseling, Private Tutors, Education, Educational Services",,,,,,85018,,Test Whisperer,-111.982161,,,,,9:0-21:0,,,Phoenix,,,,,33.512535,,,5.0,0lNBty51YBh1SfHqH692Fg,,5148 North 45th Pl,,,,,,,,,9:0-21:0,,,,,,9:0-21:0,6,9:0-21:0,AZ,"{'Monday': '9:0-21:0', 'Tuesday': '9:0-21:0', 'Wednesday': '9:0-21:0', 'Thursday': '9:0-21:0', 'Friday': '9:0-21:0', 'Saturday': '9:0-21:0', 'Sunday': '9:0-21:0'}",
1,8:0-18:0,True,8:0-18:0,,,,8:0-18:0,,,,,"Real Estate, Shared Office Spaces, Home Services",,,,,,85016,,Workuity,-112.0318945,,,,,8:0-18:0,,,Phoenix,,,,,33.509686699999996,"{'BusinessAcceptsCreditCards': 'True', 'ByAppointmentOnly': 'False'}",,5.0,qXgXDVR-HL5aY9FjPvR0vw,,"2390 E Camelback Rd, Ste 130",False,,,,,,,,0:0-0:0,,,,,,0:0-0:0,7,8:0-18:0,AZ,"{'Monday': '8:0-18:0', 'Tuesday': '8:0-18:0', 'Wednesday': '8:0-18:0', 'Thursday': '8:0-18:0', 'Friday': '8:0-18:0', 'Saturday': '0:0-0:0', 'Sunday': '0:0-0:0'}",
1,10:0-23:30,True,10:0-23:30,,,,10:0-23:30,,,,,"Massage Therapy, Health & Medical",False,,,,,89103,,Warm Massage,-115.20670109999999,,,,,10:0-23:30,,,Las Vegas,,,,,36.1104125,"{'AcceptsInsurance': 'False', 'BusinessAcceptsCreditCards': 'True', 'ByAppointmentOnly': 'True'}",,5.0,tcRs3x1C4V6PEMn-XNj2fw,,,True,,,,,,,,10:0-23:30,,,,,,10:0-23:30,5,10:0-23:30,NV,"{'Monday': '10:0-23:30', 'Tuesday': '10:0-23:30', 'Wednesday': '10:0-23:30', 'Thursday': '10:0-23:30', 'Friday': '10:0-23:30', 'Saturday': '10:0-23:30', 'Sunday': '10:0-23:30'}",
1,9:0-19:0,True,9:0-19:0,,,quiet,9:0-19:0,True,,,,"Pizza, Restaurants, Food, Italian, Specialty Food",,none,free,,False,H9H 3B7,,DelMonaco,-73.8545467,True,False,True,True,9:0-20:0,,,Kirkland,False,"{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'breakfast': False, 'brunch': False}",,,45.448088500000004,"{'Alcohol': 'none', 'BikeParking': 'True', 'BusinessAcceptsCreditCards': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'Caters': 'True', 'DogsAllowed': 'False', 'GoodForKids': 'True', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'breakfast': False, 'brunch': False}"", 'HasTV': 'False', 'NoiseLevel': 'quiet', 'OutdoorSeating': 'True', 'RestaurantsAttire': 'casual', 'RestaurantsDelivery': 'True', 'RestaurantsReservations': 'False', 'RestaurantsTableService': 'False', 'RestaurantsTakeOut': 'True', 'WheelchairAccessible': 'True', 'WiFi': 'free'}","{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",3.5,3B6BFYDzXOWwrjNnJzYksg,,2968 St Charles Road,,,,,True,,False,True,9:0-18:0,,True,,,,9:0-18:0,6,9:0-19:0,QC,"{'Monday': '9:0-19:0', 'Tuesday': '9:0-19:0', 'Wednesday': '9:0-19:0', 'Thursday': '9:0-19:0', 'Friday': '9:0-20:0', 'Saturday': '9:0-18:0', 'Sunday': '9:0-18:0'}",casual
1,5:0-22:0,True,5:0-22:0,,,,5:0-22:0,True,,,,"Day Spas, Pilates, Fitness & Instruction, Gyms, Active Life, Yoga, Beauty & Spas",,,,,,85258,,Gainey Village Health Club & Spa,-111.92066990000001,True,,,,5:0-22:0,3.0,,Scottsdale,,,,,33.5653142,"{'BikeParking': 'True', 'BusinessAcceptsCreditCards': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'ByAppointmentOnly': 'False', 'GoodForKids': 'True', 'RestaurantsPriceRange2': '3', 'WheelchairAccessible': 'True'}","{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",4.0,GLEBemX4huHQTbmRAR2evA,,7477 E Doubletree Ranch Rd,False,,,,,,,,7:0-20:0,,True,,,,7:0-20:0,59,5:0-22:0,AZ,"{'Monday': '5:0-22:0', 'Tuesday': '5:0-22:0', 'Wednesday': '5:0-22:0', 'Thursday': '5:0-22:0', 'Friday': '5:0-22:0', 'Saturday': '7:0-20:0', 'Sunday': '7:0-20:0'}",
0,,False,,,,,,True,,Mount Pleasant and Davisville,,"Restaurants, Breakfast & Brunch",,,no,,False,M4G 3B5,,Rosie's Kitchen,-79.3748321,,True,False,True,,1.0,,East York,,"{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'breakfast': False, 'brunch': True}",,,43.7053758,"{'BusinessAcceptsCreditCards': 'False', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'Caters': 'False', 'GoodForKids': 'True', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'breakfast': False, 'brunch': True}"", 'HasTV': 'False', 'OutdoorSeating': 'False', 'RestaurantsAttire': 'casual', 'RestaurantsDelivery': 'False', 'RestaurantsGoodForGroups': 'False', 'RestaurantsPriceRange2': '1', 'RestaurantsReservations': 'False', 'RestaurantsTableService': 'True', 'RestaurantsTakeOut': 'True', 'WiFi': 'no'}","{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}",4.0,clrNPmyYtz5oNG2bQP83KQ,,1549 Bayview Ave,,,,,False,,False,False,,,,False,,,,10,,ON,,casual
1,10:0-21:0,True,10:0-21:0,,,,10:0-21:0,,,,,"Home & Garden, Cooking Classes, Specialty Schools, Education, Cooking Schools, Coffee & Tea, Personal Shopping, Breakfast & Brunch, Specialty Food, Kitchen & Bath, Restaurants, Food, Shopping, Arts & Crafts",,,no,,,85254,,Sur La Table,-111.927672786,True,,,False,10:0-21:0,3.0,,Scottsdale,,,,,33.623674842,"{'BikeParking': 'True', 'BusinessAcceptsCreditCards': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'Caters': 'False', 'OutdoorSeating': 'False', 'RestaurantsPriceRange2': '3', 'RestaurantsTakeOut': 'False', 'WheelchairAccessible': 'True', 'WiFi': 'no'}","{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",4.0,zq68Tu0QywNU7Si_SQMi7w,,"7122 E Greenway Pkwy, Ste 100",,,,,False,,,False,11:0-18:0,,True,,,,10:0-21:0,39,10:0-21:0,AZ,"{'Monday': '10:0-21:0', 'Tuesday': '10:0-21:0', 'Wednesday': '10:0-21:0', 'Thursday': '10:0-21:0', 'Friday': '10:0-21:0', 'Saturday': '10:0-21:0', 'Sunday': '11:0-18:0'}",
1,0:0-0:0,True,0:0-0:0,,,,0:0-0:0,,,,,"Damage Restoration, Insurance, Contractors, Home Services, Financial Services",,,,,,89118,,Insurance Restoration Services,-115.202884114,,,,,0:0-0:0,,,Las Vegas,,,,,36.0870060548,"{'BusinessAcceptsCreditCards': 'True', 'ByAppointmentOnly': 'False'}",,5.0,9eKGcn95Jnp32EciDyWlIA,,"4544 W Russell Rd, Ste A",False,,,,,,,,0:0-0:0,,,,,,0:0-0:0,63,0:0-0:0,NV,"{'Monday': '0:0-0:0', 'Tuesday': '0:0-0:0', 'Wednesday': '0:0-0:0', 'Thursday': '0:0-0:0', 'Friday': '0:0-0:0', 'Saturday': '0:0-0:0', 'Sunday': '0:0-0:0'}",
