label,photo_id,business_id,caption
food,39bz1HyQ9AQ987CyxYEQXw,I6EDDi4-Eq_XlFghcDCUhw,Large stone crab + oysters
food,GlethY_U9TAIAjCj00tYLg,mkceCArNe87jwSdLfsslXg,Winterlicious 2018 Lunch Appetizer - Pork & Cherry Terrine
food,bW-g8yhHNFKd3Ojlx58nyw,BY7KbGp2dPDiw-9TjF0Zyw,Beautiful texture and hold up pretty good in this 100 degree weather!!!
food,PdO8jDWwyW6H0spdB854Ww,YBUfsCOJ_CS2ww4DErHUEA,
food,7aY-nnCx1c3VwBfHziOU-g,n28_5ElTCVkhP-9BTgQGgg,
food,PhVScUlLNsxgTtEHNdUp5Q,FThzT9bwBTuLC1oveGVjhw,
inside,yt7O8pLFlWU2b7M4IJiFjQ,qs2v_NMD3_m8KFN0Kt9BLQ,
food,3AGSMFoEy2dBWj7yX2sABQ,qVri-kxCnhQjXuU4cmhANA,Beach Bunny Pizza
food,MGyG1nVPkJIk3EiAmo2Uaw,QTkI3UFW0rXvOnrU9k9HQw,
drink,YQRXjLcwOMXn2gyFscjMaw,FAiZp6pLY5l9JITMQPASbg,Pink Dragon
food,UiTAxE4aUDSbZOv5fAUY_A,i2hPnUeiCzDyyyzLtIWqgw,Chicken Avocado Overstuffed Quesadilla
food,bWePWH-geU8rolXNJHqZ8g,-Mz3M0g6iFZczs6a7ddf5g,photo: www.mbstudio.info
inside,-5I1HW_AFTyHGYmN3ARO6A,RwMLuOkImBIqqYj4SSKSPg,Lots of people all the time
drink,oJ1PiepcLUn08Hgj8N5FWg,oZHbPhIj01_31jqD053a_Q,
food,R3CAMc8_SnYsSsUeMcAizw,N0apJkxIem2E8irTBRKnHw,Calamari. Not good :(
inside,cis3hPh68iq7GlUkZ0zSuw,Et3fglCA16HU1G5ZG4zm7A,Chef's Table !
food,IxN31fGCvcRPxcWa2NLb9w,DlPdPKci3UTKsFILr6nuCg,
inside,uj5ffBaNO6zxl8C69-y29g,3OknFx5ox_1O9nmP5DSFBA,I find this place quite comfy.
food,r21dL6GCkUaklbQ4afN4qA,KXITXbKuE60WSUDs7NZVLQ,Creole Duck Breast
food,KmOawS1Gc5kLL73Pouz5yA,vOyZkFAknjVg-Fwye3TKaQ,
food,kdUxuOdLRNv4gXjM_oGqaA,8aykSzSqGPYUpMQbO2DPdA,Steamed dumplings
food,jHNwxxwEOvHZ9-FmbQWOnA,mnn--vaYHtNyBNYFYBFIog,Delicious striped seabass in a swoosh of celeriac root purée with roasted potato.
inside,uPPi6ChaOmPDDQqmw9UjMw,6W3hdaCjx_n1kADEuORduA,:)
food,aKa-TT3HPXuBpHbUgWx3tg,9_onoqwv9ZdItxc8OlUKAg,
food,XOYFi3quIszEL98YDTPZTg,1DjtSWDLN16UTffEEu9V8A,
inside,iqewV_SB7l2VuO-kcHl6GA,jo4KmAqlZ7vxjHIP7IIkAw,
food,SGvG30k57pNi0PCDJa8F5g,a4L-Fy0agN3RNM7O49bIHA,36 Hour Beef Short Rib
food,85wLgYsPEeLmfsRUkChVSQ,Ro-_PAzq-Rdxl5JhM3WmoA,
inside,YDR4MECjS2rrCPvGWqvxcA,_3_idm-J-NLqeaFlvcN6Pg,
food,bpCTqMIZjTxmSiRkH-nKiA,BUcTdN-rNE8urCCQuxSOQA,Left is pork xiao long bao (B9) and right is steamed beef and chives dumplings (B5).
food,R-EzC2J8thDQHCjQItbRDw,ni4ppUp4oHq-OSSCgUIGiA,
food,OycYJXn77Yn-CtOD74wQ_Q,KNupdlWcv6_gqciRmjhMCA,
inside,IjiH-h6Bc_grAat-zISQLg,l8ewXyH88N5Y_BOPXKAQZw,Expansion Area
food,OHBwCTorFLgURN1bA3QqUg,XRT9dhzPS1n9iqmb_8eJjw,
food,z298tiEPAOiFmbgjvljvPg,R_z9LFtqbBB9pANO530w9w,Fruity Pebbles churro
food,G8cS4aJw9GFUi77L0HOxJA,aqmITEqECSM9eqDIfU1CfA,
food,f1-0o6hXZGailtyFYQIETw,3BMX78rBdWv6U-RkRdY6QQ,
food,mRacM3lumKImyesaXHbUrQ,7ADjU1ZmRfUeMebjbYU3kw,Godiva Chocolate Brownie Sundae
outside,PWSDbEBBIHswQL1GJtVkFw,8Zqh2jwtncA3N4fWEMTvZQ,
food,3kjJkWsbFijDR8MCLxzXdA,jBz_VwcQR3hWw5-DG1wurQ,Want something to take on the run? Our sandwiches are made daily!
food,wkEwBz8e4HWwjKq8-xC24w,oxb73l504iA68bWdHqymHQ,Original Grand Slam®
inside,Id2ELhOKHKMX0Uw_OckM8w,dCUuzw3R2rPqKyN2Zl9zRw,
inside,eLvYNAVAtzGagWhqn5TYzw,LIxNfkk9vgPikLh1W-5f8w,
food,bJT2Uv_LuM_2cc1rjyvBeQ,rRUMh9qvfW8wA6NUd5Yf8w,Pancit palabok
food,RB2g4mNGBj6RUOiFAMoiag,E_4qAaFMthmlF4hjLjtolg,Mixed Grill Seafood 28.95. For Two 49.95.
food,y-XqGvTCxPMIxqN257FTzQ,jxaF8MS1rrHEXfw-IyV5Fw,
outside,ZIXqqY_lnwW5gzzLzZelFg,Dxaz8OxaadecnWol18kAtw,View from patio at sunset
outside,vWktGbxUFpTbcrx01rB6jQ,ozEDKl0tZw5ob1evx41gcQ,
food,cEESjYQ16anrWXHxzDKhXQ,lNRBjtQqvOIGuFsxm_z9og,
drink,EFj4VYWUE1PnmKYk6srUAA,PkqN5st3zZ_Xce_5QlBtNQ,Coffee milk
food,Xc6TB0OcqqMGVVt7wmcg7A,TH8QoP2xFRtuxP1kR08b1w,
outside,gnMl0RpP6oeT4C1rwaFohA,_k-pqsaVgvCfeMJ4AiMaZQ,Korean Food 101: Walking tour of a Korean supermarket
inside,nN0oUPXzsgXgi57V9jTauQ,gKXsFVhWyK7MLQhSKG5_mA,
food,jxmf2wyaINTDW5ehlMrmBw,vyeQzjZFx6KoL2pJBQ2QFA,Edamame
outside,Ydl2zjoNWYNGk_Tn70LQbA,Wg9zybwt7iZZ9HQWknCghQ,
food,pG9j2kcGwOWCESwahQcqPg,mniDh2RoXlN9l0g-B6-W-g,
inside,-ZMDHxVrrQN_0Rdv127RdQ,8I2XBrjf4rOEWx7pnKpVeg,
inside,NxBGzeu1rEnvKkaPueeMHA,ZU3ZU_wGF2S4CKavMEtI_w,
outside,gtgiNQ_nyLuaif29feA7Sg,vIr0LbBNDTB0HV0DZrnk6A,Cocktail Waitress at Lily
food,eP-bcJCTsueuObRHJsP1qw,SDtIdchX9WpKlH5Yst8kjQ,The beef plate. $8.95
food,NIkD_3R7Bn9hy4ysRMmdSA,ePVVYZlBCOyPqK_XYnfJWg,Beef Barbacoa Burrito Ð Limited Time Only
inside,60Arb0GEAYwB-gK2xZ67Aw,4Pl-ziYL2oerGyIPlwVdmA,How spicy do you like???
drink,Lu8jHA6OgjjABjFwH3olTA,7y8wJmvouRJSXgpUw94wYA,
food,aL1c8r4LZl92RLyxfEqPvA,1xgJ9E_s_8n9fgw3HQbbug,mango cheesecake and what I am calling the chocolate raspberry sorbet!
food,dYAUXEajwuMleJhIUZGBWA,XnJeadLrlj9AZB8qSdIR2Q,
outside,SraKSREpIb9NCoV3ew8nUw,mG71gQ5HWl7ut9OCN6NJKA,
inside,SdjYLe-cQkuOjnQp3aRMYQ,G-5kEa6E6PD5fkBRuA7k9Q,Inside the dining room.
inside,KhOsIhGcG5CsBgtAf_CBlg,6z3cgIE9dJ01wUm43f0yBQ,
food,TyiJIDhTe5LzDzGDyQ06Bg,1gL9mw6HRbetCb9vOBoPQw,
inside,zYNE4VEyRvhJ23n9o344cA,TVtnQyn3ka60r2t9xRwKPQ,
food,xLo4G5wB1lYf2aLgtjUkwQ,a6SqJZTFMpSOR6Qb0STyFA,Penne Alla Vodka
