stars,useful,date,review_id,business_id,cool,text,user_id,funny
5,2,2018-03-24,ibvXkVvdl4FGWQbFlPxxIA,sKA6EOpxvBtCg7Ipuhl1RQ,1,"My friend and I came here for the first time tonight. We ordered two sushi rolls (very reasonably priced), a couple dishes of nigiri, and two hand rolls. Our favorite was hands down the salmon belly nigiri. The salmon was so fresh and fatty, it melted in our mouths. We also liked the garlic tuna nigiri. The hand rolls were a little bit too spicy, but nonetheless we had a great first dining experience here. Will definitely be back :)",X9actWsKQhcZ2dh-ToH7wQ,1
5,0,2018-06-05,W-oHYt9GFDAw2kVnC23iig,XOgp62jhSkdPNDNOyrVl-Q,0,"Professional, prompt, polished and prepared!
I would highly recommend Cheetahs Movers! I had large, heavy, expensive pieces and they were treated with care. The crew was strong, respectful and swift. Well done!",bXgQoh9H0gqpkxCYjVjGmg,0
5,0,2018-06-05,gP5_nzIWDhgNkKyBXpQlSQ,NmPAn3xjGiTuJxyT5bxvjQ,0,"Edgar and his staff are incredible!  My Porsche was a mess and they made it look amazing.  They arrived exactly as promised, were extremely professional and I couldn't be happier.  I am totally impressed!  And kudos to them for having to endure the hot temperatures in Las Vegas.
This company deserves 10 stars!
Thank you Edgar and Staff!",v7Oe_bOgKDtPNf6Q3_6CSg,0
1,0,2016-10-16,ik7ThAF3VXCBJpoD_upFKQ,-hq09PjRpGcx4XXhrqh5xw,0,"We are from out of town, found a Thai restaurant with 3.5 star didn't think it could go wrong. BUT we were wrong, the food tasted terrible.  Fried wonton was dry with no cream cheese taste like fried chips, pad see ew was also dry and too sweet, fried rice has no eggs in it. All this was over $50, wish we could have gotten our money back!",DiCinwhi2E_TKkmW3m4t4g,0
4,1,2017-05-25,EULJcZWq6b94cCYprpQJKg,0KjY3gmtqQjc4sK-uG-6fQ,1,"The Goods
1. Feel like every city needs a unique donut place that isn't Krispy Kreme or dunkin
2. This one feels so 'real' you can see the baking trays of donuts and the smell of freshly made donuts!
3. The flavor are unique and they do the cronut croissant-donut too as a hybrid which is trendy 
4. Donuts are one of my vices and treats after a long workout, and this is my go-to for some unique flavors 
5. Try the pbj or cheesecake 
6. The presentation is ""on point""

Service 
1. Varies but generally cordial 
2. Pick them, the site on rainbow and lake mead had great smiley service 

Ambiance
1. Quaint with some seating
2. You can get coffees juices and water bottles too
3. CC and cash ok
4. Cute presentation 

MoJo
1. I've had the fruity pebble donut too it is good! Love the theme of this place 
2. A local favorite from
What I have gathered",TGSi0e7-ovol_PBIQgodOg,0
4,0,2015-08-05,doBZDW_pFfmSAyKH7JMZxw,8PaMGALpL7FwwdUy7eK4ZA,0,"Very tasty, fresh teriyaki bowls.  The regular size is a great lunch portion, and they have sushi rolls too.   Not too crowded and a quick meal before returning to work.",IQhVed1IpY2Wvdae-0Pwgg,0
4,2,2018-02-03,cYmFtTiJUuQHD9eZKF8hZw,inWP6FrTecbCjgbxAxK0dQ,1,"Visiting from out of town. Always try a pizza when away from home. Sometimes it works out. Like this time :). As a family we had 3 different pizzas on 2 types of crust (I only eat thin). Also had the ""this and that"" everything was hot and delicious. Came promptly and the service was very accommodating and courteous. We are staying in a hotel. Ordered while down at the pool. Ask them to call before they got here so we could decide to have food delivered to poolside or room. Everyone was so pleasant to deal with. Would recommend this pizza and appreciate the staff and their kindness.",R8Efr2kIx6HJgas2BEJu3w,1
4,1,2007-01-22,bpxnzmWtnbycHpher3q8kw,gIno_cXhvn6Om14D0I2vHg,0,"My friend Lolita* and I have been to Carlos O'Brien's so many times, it's almost embarrassing.  It's close to our apartments, the food is good, it's relatively cheap and the lively Mariachi music is always a bonus.  I think the wait staff has seen us so much that they kind of hate us. We're not the table that orders pitcher after pitcher of margaritas, so they know we're not big spenders. And we always have special requests- enchilada sauce on a tostada or a taco with black beans instead of meat. They always honor our requests though and it keeps us coming back for more. I know that my brother loves their Mexican pizza and the fajita chimichanga, while Lolita prefers the pollo fundido. This is a great spot to go for happy hour because the margaritas are cheap and the attentive servers in the bar area keep them flowing freely.  Select appetizers are specially priced during happy hour and there is also a reverse happy hour starting at 9pm too I believe.  Sometimes I see a tall, gray haired man watching over the diners from the hostess station and I can't help but wonder: Carlos, is that you?

*Name changed to protect the innocent.",sYQyXDjGaJj7wfaqz5u8KQ,2
3,0,2018-03-25,Zt0VivCmTNb-0DfcydRQdg,W7DwXa_7LNmETFHSQJZ2Lg,0,I went there 3 times in the past year. First two times were excellent.  The third time not a charm. The sushi rice was cold and mushy.  Cuts of fish were fresh but small. Too much rice for a small piece of fish.  Also very thinly sliced. Teriyaki chicken was precooked with sauce poured over. Pretty dry.  Could be different chef.  Price is reasonable. Will try again because maybe caught a bad day. Servers always good and pleasant.  If your consider price probably 4 stars.,DBWApVmCtD0UmrqQO8axoQ,0
2,1,2008-09-14,WUS0p5tiqA5ZA_F2cV1WaQ,EhIMjTklf4QPvRvMIhoQiA,2,"Zzzzzzzzzzzzzzzz... lame and boring shops that are the remants of the Aladdin Desert Passage stores before Aladdin Casino became Planet Hollywood. Connected to the Planet Hollywood casino.

They are slowly trying to change the theme and motif of this place to make it more Planet Hollywood-esque, but everywhere you still see the old store buildings with the desert/arabian style decorations with the old sleepy dim atmosphere.

The hourly 5-min rainstorm show will entertain you for all about 30 seconds. And their inside ""laser show"" in the dome area near the margarita stand looks extremely amateurish.

Interesting additions do include Earl of Sandwich, H&M, and Hawaiian Tropic Zone Restaurant. 

The cart vendors here are very aggressive so get ready to ignore them.

Bottom line: Blah.",6mMk9hO_RAbdGMEGeg3oWQ,2
