likes,business_id,user_id,date,text
0,TmhmjGnQ8RnsjyAVCYGc0w,Xl9PFRwjSeCVZXFb9tyb4A,2015-05-24,$13 deal for upper lip and eyebrows
0,nnGqETrosXjIcqP4CFUK8A,7EWJSaiGvoxuDiQTjkBDuA,2017-02-20,Favorite local bar! Great people and good food.
0,CxEk19RBwfD0Ochgo4Q5UA,XChCfeJ6Yx2NDJIpIgRhyg,2012-04-24,Calf and Lamb tongue sandwiches available.
0,fZM_o3kKZ9mR-1pvBeow8A,m5pVwzwwicHje7ij15Bwug,2011-12-22,Some dragon tattoo action
0,xiNJk32NYbXdL-T3PzE3lQ,2gu5B_JbJlfZLhihSr-apQ,2011-12-22,I have an 11 and 1130 today and a few slots tomorrow available....
0,BCAw9a_kyx2RddRH9tMmKQ,ojMZWC1MMHFic0TlYwJhxw,2017-03-26,The service was good and so was the food.  No complaints.
0,cKXMA7AoyvrFKaZzNOp0nA,jI3CuE6huHDiIcIdGu0KEA,2012-07-09,"Great steak and eggs price, but sadly the graveyard manager is against gays. Kicked us out after she saw us hugging."
0,-hAFDLTPzrPA8zVqD9-Agg,pvwEROiu2kfTqyp6cG2HIA,2015-04-09,HALAL. excellent service. Everything is freshly made. Call your order in before you arrive.
0,5iSmZO0SrKU6EoXK_1M8Kw,ztXr-ak_CtoWz4WCAAcfWw,2012-08-10,Vacation
0,ABmHR5NRjJtojt07PHpDrw,2gBkiUfgVROSYjyYXXZ6Rg,2011-08-19,"Browns game, hell yea!!! Go  Browns!!!!"
0,IeYyjnWo3eT2cVIudqFV4A,dAB-v4B-5_8QgTcoVSnZOw,2015-07-25,They have free WiFi. Pass is their phone number: 4162214135.
0,NIFrjfEot4GFR-tqiqrsHw,E73xr_twLJZemdGrXWQobQ,2011-11-25,AVOID @ ALL COSTS!!  Employees just don't give a shit!!!
0,C0C7IxBSC1df0FwXODZCvw,S9Jw00eZHVj5_0sOM_C5Rg,2013-09-22,"The ""Duke"" has 85 check-ins and I have 207. Go figure."
0,1SE9f6TEV5XhnTuuK01xwA,h0wxG2EiDLhgKjIzI8j2Mg,2013-03-02,Rebel game! Against UNR
0,pup46G8qFBG8695RtbQNwA,si7trhnlFun_jVlxODWAYw,2016-10-04,Good food but they are not kidding when they say certain items are spicy!
0,LR0qF0FEVsCOhYWUOiH26A,zYt1l2a952eoVYsntQkt2Q,2010-07-31,Best crab legs!
0,Gh1BoQNMGkh91pSHqvDRAA,IHz36PLiI98RDkTcI5VdEQ,2017-05-17,love this place
0,p4qvXkb34X8hgidxEZ33Gw,uf1UdKswKWOqFLUvRvvbzA,2012-03-02,"Such a long wait, but the food is worthed it"
0,I_vM9f9Lb4FxwwdNZp9weA,oiNYGe3SAUkTJvDZpjMvEQ,2016-02-24,Tarah is AMAZING at coloring hair.
0,Bt0kGgIMJ7x0Vi5G14ZhYA,RBZ_kMjowV0t6_nv2UKaDQ,2012-04-30,Check for amazing sales
0,Fo7c7dVRF-8XIkEDcguyFQ,6GhxZz-ktpLp-sqmvJiy6Q,2013-09-13,Friendly staff. clean atmosphere. Easy accessible location.
0,Wsnc8jb32TCE4DFGBrZUHQ,cj89RJSWVXdqqKRGUG_r1Q,2014-01-13,"This is a very good place to get haircut. Clean, fast and reasonable price"
0,sS2IKdaUne_8QwiAl6iyfg,IdD1Z_PMqF0zUn3uZWSeAg,2013-03-29,Malay roll!
0,FcFBgOQuIShzoHG83h9Lyg,cvDlnwZHLh3QlVdS2i5ESw,2011-07-17,Ravella has a deal sometimes with free breakfast with their room deals
0,AyZePvrWz73d3B0hafFCKA,dZv5rN0OBhtSrKorY7NIUg,2013-07-26,Good pours!
0,KH9XgG2nt0G6bk8-NKkQQQ,AHte-2OcOSw6NBa5Ekw4rw,2016-02-29,"Best sushi in chandler, AZ its affordable and great customer service."
0,ax8kuBZVtC0_eCn_rN_-6A,wTWBDZEkJ-ur-A2w1Zag4g,2017-10-03,Slowest place in the universe
0,qm9BQeu-Nd17uUOcCZjyng,QPJJohtGqkMkaN0Gt3TRIg,2016-06-02,Outdoor reading garden is opened!
0,T3ASfec34b8-uYr3xZj8Lw,WJ1bkwwEmt4uqs9V3h9-eQ,2014-08-24,Chicken wraps
0,lmfyEVKm3CDGWg18LeRhgA,9Y6iSOxrr9AsgUpW_xE1DA,2012-02-10,Great food served graciously
0,BWgXFbRqrPKci7C1__6BXg,drPe-XQ6zRXjqrmQdlE7Ew,2014-04-10,Great food and sushi
0,OTXv9C7uL_IcR6v7u-qCNg,JwQUSRWaxQjsXqTCKjkmbQ,2013-03-13,There's a FedEx express drop box right inside the doorway for a quick and easy drop
0,j7HO1YeMQGYo3KibMXZ5vg,MYxgN_ck50buQjn3mG8XVw,2013-03-16,Get the fried potatoes
0,y0f3gSQGDMNJiCfTH4CsXA,7MrFkV3VfulNZnXfqZR4vw,2016-09-18,"Mattress Firm carries Tempurpedic, Beautyrest Black Hybrid/World Class/Recharge, Sealy Posturepedic, Serta, and Hampton & Rhodes!"
